event_id,record_id,source_type,scenario_event_id,event_name,same_event_cluster,information_type,military_signal_type,relevance_label,source_reliability_label,claim_strength,certainty_level,is_duplicate,is_rumor,is_disinformation,is_civilian_related,is_military_related,media_claimed,media_verified,possible_misidentification,misleading_type,ground_truth_status,claimed_location,ground_truth_location,analyst_question,country,region,municipality,locality,place_name,location_precision,location_confidence
REC-025790,REC-025790,הודעת דובר,EVT-002,הודעת קוסובו על מבצע אכיפה מוגבל,EVT-002-CL-07,תצפית על תנועת כוחות,תצפית על תנועת כוחות,4,propaganda/disinformation,חלשה,נמוכה,false,true,false,false,true,true,false,false,זמן שגוי,שגוי,"לפוסאביץ׳, כיכר מרכזית 108","לפוסאביץ׳, כיכר מרכזית 108",האם נדרשת הצלבה עם מקורות נוספים?,קוסובו,צפון קוסובו,לפוסאביץ׳,כפר 108,כיכר מרכזית 108,public_square,גבוהה
REC-014015,REC-014015,הודעת דובר,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-10,כלכלי/חברתי,,2,unverified,חזקה,נמוכה,false,false,false,true,false,false,false,false,זמן שגוי,לא ידוע,"צפון מיטרוביצה, צומת מקומי 83","צפון מיטרוביצה, צומת מקומי 83",האם נדרשת הצלבה עם מקורות נוספים?,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,צומת מקומי 83,junction,גבוהה
REC-072474,REC-072474,X,EVT-006,KFOR מגביר סיורים בצפון,EVT-006-CL-11,חדשות/תקשורת,,3,propaganda/disinformation,בינונית,נמוכה,false,false,false,false,false,false,false,false,זמן שגוי,שגוי,"זבצ׳אן, תחנת דלק 2","זבצ׳אן, תחנת דלק 2",האם הדיווח מצביע על פעילות משטרתית?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,תחנת דלק 2,facility,בינונית
REC-091115,REC-091115,טיקטוק,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-05,מחסום/חסימה,מחסום/חסימה,3,unverified,חלשה,נמוכה,true,false,true,false,true,false,false,false,זמן שגוי,לא ידוע,"לפוסאביץ׳, כיכר מרכזית 16","לפוסאביץ׳, כיכר מרכזית 16",האם הדיווח מצביע על פעילות משטרתית?,קוסובו,צפון קוסובו,לפוסאביץ׳,לפוסאביץ׳,כיכר מרכזית 16,public_square,נמוכה
REC-093887,REC-093887,הודעת דובר,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-05,תצפית על תנועת כוחות,תצפית על תנועת כוחות,2,disputed,חלשה,נמוכה,false,true,true,false,true,true,false,false,זמן שגוי,שגוי,"זבצ׳אן, תחנת דלק 121","זבצ׳אן, תחנת דלק 121",האם הטענה על הסלמה מגובה במקור אמין?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,תחנת דלק 121,facility,נמוכה
REC-005027,REC-005027,בלוג פוליטי,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-08,מחסום/חסימה,מחסום/חסימה,3,unverified,חלשה,נמוכה,false,false,true,false,true,false,false,false,זמן שגוי,שגוי,"זבצ׳אן, צומת מקומי 73","זבצ׳אן, צומת מקומי 73",האם האירוע משפיע על אזרחים או על צירים?,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,צומת מקומי 73,junction,בינונית
REC-026552,REC-026552,שמועה מקומית,EVT-001,מעצר דמות סרבית מקומית,EVT-001-CL-05,תצפית על תנועת כוחות,תצפית על תנועת כוחות,3,propaganda/disinformation,חלשה,נמוכה,false,false,false,false,true,true,false,false,זמן שגוי,שגוי,"צפון מיטרוביצה, מרכז בריאות 42","צפון מיטרוביצה, מרכז בריאות 42",האם מחאה אזרחית הופכת לעימות חמוש?,קוסובו,צפון קוסובו,צפון מיטרוביצה,כפר 42,מרכז בריאות 42,facility,גבוהה
REC-012281,REC-012281,טלגרם,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-10,רשתות חברתיות,,0,unverified,בינונית,נמוכה,false,true,false,true,false,false,false,false,זמן שגוי,שגוי,"לפוסאביץ׳, תחנת דלק 47","לפוסאביץ׳, תחנת דלק 47",האם נדרשת הצלבה עם מקורות נוספים?,קוסובו,צפון קוסובו,לפוסאביץ׳,לפוסאביץ׳,תחנת דלק 47,facility,בינונית
REC-087598,REC-087598,ערוץ חדשות בינלאומי,EVT-003,קריאה מקומית להפגנות וחסימות,EVT-003-CL-07,מחסום/חסימה,מחסום/חסימה,4,unverified,חזקה,נמוכה,false,true,true,false,true,true,false,false,זמן שגוי,נכון חלקית,"זובין פוטוק, תחנת דלק 63","זובין פוטוק, תחנת דלק 63",האם מחאה אזרחית הופכת לעימות חמוש?,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,תחנת דלק 63,facility,בינונית
REC-076848,REC-076848,בלוג פוליטי,EVT-004,חסימות ראשונות בצירים עירוניים,EVT-004-CL-11,רשתות חברתיות,,2,false,חלשה,נמוכה,false,true,false,true,false,false,false,false,זמן שגוי,לא ידוע,"צפון מיטרוביצה, ציר גישה 34","צפון מיטרוביצה, ציר גישה 34",האם יש שינוי בנוכחות KFOR?,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,ציר גישה 34,road_segment,נמוכה
