event_id,event_name,event_type,scenario_day,domain
EVT-001,מעצר דמות סרבית מקומית,טריגר אזרחי־משטרתי,יום 1,ריבונות/אכיפה
EVT-002,הודעת קוסובו על מבצע אכיפה מוגבל,הצהרה רשמית,יום 1,מדיני/ביטחוני
EVT-003,קריאה מקומית להפגנות וחסימות,מחאה,יום 1,אזרחי/תודעה
EVT-004,חסימות ראשונות בצירים עירוניים,חסימות,יום 1,תחבורה/ביטחון
EVT-005,תגבור משטרת קוסובו סביב מתקנים,נוכחות כוח,יום 1,ביטחוני
EVT-006,KFOR מגביר סיורים בצפון,נוכחות KFOR,יום 1,ביטחוני/ייצוב
EVT-007,עימות ליד מבנה עירייה,חיכוך אלים,יום 2,ביטחוני/אזרחי
EVT-008,פצועים ראשונים והפצת סרטונים חלקיים,נרטיב/נפגעים,יום 2,תודעה/חירום
EVT-009,שמועה על רשימת מעצרים נוספת,שמועה,יום 2,מידע מטעה
EVT-010,פשיטה משטרתית לילית מוגבלת,אכיפה,יום 2,ביטחוני
EVT-011,דיווחים סותרים על ירי באזור כפרי,ירי לא מאומת,יום 3,ביטחוני/מטעה
EVT-012,תקיפה נקודתית על סיור קוסוברי,עימות חמוש מוגבל,יום 3,ביטחוני
EVT-013,סרביה מעלה כוננות בצד הגבול,לחץ צבאי־מדיני,יום 3,ביטחוני
EVT-014,דיווח שקרי על חציית גבול סרבית,דיסאינפורמציה,יום 3,מידע מטעה
EVT-015,KFOR מציב חיץ באזור רגיש,בלימה,יום 3,KFOR
EVT-016,חסימות נוספות והתפשטות מחאות,הסלמה אזרחית,יום 3,אזרחי/ביטחוני
EVT-017,בתי ספר ועסקים נסגרים זמנית,השפעה אזרחית,יום 3,אזרחי
EVT-018,דיווחים על מחסור בדלק ומזון,פאניקה אזרחית,יום 4,אזרחי/רעש
EVT-019,הצהרת נאט״ו/איחוד אירופי להרגעת הצדדים,דיפלומטי,יום 4,מדיני
EVT-020,מעצר חשודים והחרמת ציוד,אכיפה,יום 4,ביטחוני
EVT-021,סרטון ישן מופץ כאירוע חדש,דיסאינפורמציה,יום 4,מידע מטעה
EVT-022,פינוי אזרחים מוגבל מאזור חיכוך,חירום אזרחי,יום 4,חירום/אזרחי
EVT-023,הסרת חלק מהחסימות,בלימה,יום 5,ייצוב
EVT-024,אירוע ירי נוסף לא מאומת,רעש/חיכוך,יום 5,ביטחוני/מטעה
EVT-025,חזרה הדרגתית לשגרה מתוחה,דעיכה,יום 6,אזרחי/מדיני
