event_id,timestamp_utc,source_type,source_reliability,source_reliability_label,certainty_level,entity_or_actor,location_id,event_summary
REC-025790,2026-09-12T04:19:00Z,הודעת דובר,לא סווגה,propaganda/disinformation,נמוכה,מפגינים סרבים מקומיים,LOC-128,"דיווח על כלי טיס בלתי מזוהה מעל אזור כיכר מרכזית 108. אין אישור אם מדובר ברחפן, מסוק או רעש אזרחי."
REC-014015,2026-09-12T05:52:00Z,הודעת דובר,לא סווגה,unverified,נמוכה,תושבים מקומיים,LOC-103,יש דיווחים על הפסקת חשמל קצרה באזור צומת מקומי 83. לא ברור אם מדובר בתקלה רגילה.
REC-072474,2026-09-12T06:34:00Z,X,לא סווגה,propaganda/disinformation,נמוכה,עיתונאים מקומיים,LOC-022,דובר רשמי מסר כי הפעילות נועדה לשמור על הסדר הציבורי ולא לפגוע באוכלוסייה אזרחית.
REC-091115,2026-09-12T07:42:00Z,טיקטוק,לא סווגה,unverified,נמוכה,EULEX,LOC-036,"תמונה של שיירה מוצגת ככוח סרבי, אך משתמשים אחרים טוענים שמדובר ב־KFOR או במשטרה."
REC-093887,2026-09-12T08:46:00Z,הודעת דובר,לא סווגה,disputed,נמוכה,EULEX,LOC-141,"דיווח דרמטי טוען שכוחות גדולים חצו את הגבול הלילה. נכון לעכשיו אין לכך אימות, ומקורות אחרים מכחישים."
REC-005027,2026-09-12T09:17:00Z,בלוג פוליטי,לא סווגה,unverified,נמוכה,KSF,LOC-093,מקור מפלגתי טוען שהאירוע הוא מתקפה מתוכננת מראש. אין ראיות עצמאיות שמאשרות את הטענה.
REC-026552,2026-09-12T09:58:00Z,שמועה מקומית,לא סווגה,propaganda/disinformation,נמוכה,KFOR,LOC-062,דובר רשמי מסר כי הפעילות נועדה לשמור על הסדר הציבורי ולא לפגוע באוכלוסייה אזרחית. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם.
REC-012281,2026-09-12T10:02:00Z,טלגרם,לא סווגה,unverified,נמוכה,EULEX,LOC-067,יש תור ארוך בתחנת הדלק ליד תחנת דלק 47. אנשים קונים יותר מהרגיל. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם.
REC-087598,2026-09-12T10:15:00Z,ערוץ חדשות בינלאומי,לא סווגה,unverified,נמוכה,משטרת קוסובו,LOC-083,"תמונה של שיירה מוצגת ככוח סרבי, אך משתמשים אחרים טוענים שמדובר ב־KFOR או במשטרה."
REC-076848,2026-09-12T10:20:00Z,בלוג פוליטי,לא סווגה,false,נמוכה,תושבים מקומיים,LOC-054,"שמעתי רעש חזק לפני כמה דקות באזור ציר גישה 34. אולי זה לא קשור, אבל כולם מדברים על זה. אין תיעוד חזותי שמאפשר לאמת את הפרטים."
REC-033900,2026-09-12T10:38:00Z,X,לא סווגה,disputed,נמוכה,EULEX,LOC-146,"פוסט ויראלי מייחס ירי לEULEX, אך סרטונים אחרים מאותו אזור מצביעים על רעש אזרחי בלבד."
REC-009448,2026-09-12T12:01:00Z,שמועה מקומית,לא סווגה,false,נמוכה,KFOR,LOC-001,תושבים מתלוננים שהמצב הביטחוני פוגע בשגרה יותר מהאירוע עצמו. הדיווח מופיע בכמה חשבונות עם ניסוח כמעט זהה.
REC-073418,2026-09-12T12:24:00Z,קבוצת וואטסאפ,לא סווגה,unverified,נמוכה,קבוצה חמושה מקומית,LOC-073,דיווח תקשורתי טוען כי KFOR הגביר את הנוכחות כדי למנוע חיכוך ישיר.
REC-072035,2026-09-12T13:12:00Z,טיקטוק,לא סווגה,disputed,נמוכה,עיתונאים מקומיים,LOC-024,"דיווח דרמטי טוען שכוחות גדולים חצו את הגבול הלילה. נכון לעכשיו אין לכך אימות, ומקורות אחרים מכחישים."
REC-092517,2026-09-12T13:51:00Z,פייסבוק,לא סווגה,false,נמוכה,KFOR,LOC-126,מישהו יודע אם בטוח לעבור דרך ציר גישה 106? שמעתי שיש שם מחסום חדש.
