event_id,timestamp_utc,source_type,source_reliability,entity_or_actor,location_id,event_summary
PORT-0337,2026-05-14T00:03:00Z,רשומת נמל,נמוכה,נועה ברק,L-204,תנועה מסחרית רגילה באזור צומת גולני; אין קשר ידוע ל-OF-4482.
MOVE-0479,2026-05-14T00:16:00Z,חיישן תנועה,גבוהה,עמק שירותי קירור,L-208,עדכון תפעולי רגיל של עמק שירותי קירור; המסמכים תואמים.
SOC-0516,2026-05-14T00:19:00Z,רשתות חברתיות,בינונית,אורי לוי,L-205,תנועה מסחרית רגילה באזור שוק נצרת; אין קשר ידוע ל-OF-4482.
CAM-0465,2026-05-14T00:22:00Z,מצלמת דרך,בינונית,גליל הובלות,L-205,דיווח רקע על פעילות יומית באזור שוק נצרת; ללא חריגה.
MAINT-0491,2026-05-14T00:27:00Z,יומן תחזוקה,נמוכה,עמק שירותי קירור,L-203,עדכון תפעולי רגיל של עמק שירותי קירור; המסמכים תואמים.
FIN-0373,2026-05-14T00:28:00Z,התראה פיננסית,נמוכה,יחידת תיאום מכס חיפה,L-201,עדכון תפעולי רגיל של יחידת תיאום מכס חיפה; המסמכים תואמים.
ACOU-0334,2026-05-14T00:30:00Z,חיישן אקוסטי,נמוכה,לא ידוע,L-205,פעילות אזרחית רגילה באזור שוק נצרת; אין חריגה תפעולית.
ACOU-0428,2026-05-14T00:30:00Z,חיישן אקוסטי,גבוהה,חברת אורנים,L-209,פעילות אזרחית רגילה באזור מסוף דלק צמח; אין חריגה תפעולית.
SOC-0500,2026-05-14T00:33:00Z,רשתות חברתיות,בינונית,גליל הובלות,L-205,פעילות אזרחית רגילה באזור שוק נצרת; אין חריגה תפעולית.
MOVE-0415,2026-05-14T00:34:00Z,חיישן תנועה,נמוכה,צפון משלוחים,L-203,פעילות אזרחית רגילה באזור מעבר נהר הירדן; אין חריגה תפעולית.
SOC-0402,2026-05-14T00:43:00Z,רשתות חברתיות,גבוהה,חברת אורנים,L-201,פעילות אזרחית רגילה באזור נמל חיפה; אין חריגה תפעולית.
FIN-0523,2026-05-14T00:44:00Z,התראה פיננסית,נמוכה,א. לוי,L-205,דיווח רקע על פעילות יומית באזור שוק נצרת; ללא חריגה.
ACOU-0271,2026-05-14T00:46:00Z,חיישן אקוסטי,בינונית,צפון משלוחים,L-202,תנועה מסחרית רגילה באזור מתחם מחסנים קישון; אין קשר ידוע ל-OF-4482.
FIN-0327,2026-05-14T00:46:00Z,התראה פיננסית,נמוכה,מפעלי עמק הירדן,L-205,פעילות אזרחית רגילה באזור שוק נצרת; אין חריגה תפעולית.
FIN-0377,2026-05-14T00:51:00Z,התראה פיננסית,בינונית,עמק שירותי קירור,L-202,עדכון תפעולי רגיל של עמק שירותי קירור; המסמכים תואמים.
TEL-0358,2026-05-14T00:52:00Z,מטא-דאטה טלפוני,בינונית,מפעלי עמק הירדן,L-205,פעילות אזרחית רגילה באזור שוק נצרת; אין חריגה תפעולית.
CAM-0398,2026-05-14T00:53:00Z,מצלמת דרך,גבוהה,לא ידוע,L-201,תנועה מסחרית רגילה באזור נמל חיפה; אין קשר ידוע ל-OF-4482.
CUST-0513,2026-05-14T00:58:00Z,רשומת מכס,בינונית,א. לוי,L-202,פעילות אזרחית רגילה באזור מתחם מחסנים קישון; אין חריגה תפעולית.
MAINT-0330,2026-05-14T00:58:00Z,יומן תחזוקה,גבוהה,משרד סיוע מרחב,L-201,רישום מנהלי שגרתי עבור משרד סיוע מרחב; ללא דפוס המשך ברור.
MAINT-0526,2026-05-14T00:58:00Z,יומן תחזוקה,גבוהה,יחידת תיאום מכס חיפה,L-204,עומס מקומי באזור צומת גולני; אין קשר ידוע לאירוע הגבול.
MAINT-0509,2026-05-14T01:03:00Z,יומן תחזוקה,בינונית,קואופרטיב דלק העמק,L-201,דיווח רקע על פעילות יומית באזור נמל חיפה; ללא חריגה.
CAM-0506,2026-05-14T01:13:00Z,מצלמת דרך,בינונית,גליל הובלות,L-201,פעילות אזרחית רגילה באזור נמל חיפה; אין חריגה תפעולית.
PORT-0361,2026-05-14T01:14:00Z,רשומת נמל,גבוהה,צפון משלוחים,L-202,בדיקת שירות שגרתית עבור צפון משלוחים; לא נמצא מזהה משותף עם תרחישים אחרים.
PORT-0447,2026-05-14T01:28:00Z,רשומת נמל,נמוכה,נועה ברק,L-205,עדכון תפעולי רגיל של נועה ברק; המסמכים תואמים.
FIN-0511,2026-05-14T01:31:00Z,התראה פיננסית,בינונית,חברת אורנים,L-202,רישום מנהלי שגרתי עבור חברת אורנים; ללא דפוס המשך ברור.
PORT-0426,2026-05-14T01:35:00Z,רשומת נמל,גבוהה,מפעלי עמק הירדן,L-206,עומס מקומי באזור כביש גישה צדדי ליד בית שאן; אין קשר ידוע לאירוע הגבול.
ACOU-0483,2026-05-14T01:53:00Z,חיישן אקוסטי,נמוכה,נועה ברק,L-202,רישום מנהלי שגרתי עבור נועה ברק; ללא דפוס המשך ברור.
CUST-0337,2026-05-14T01:57:00Z,רשומת מכס,נמוכה,א. לוי,L-204,פעילות אזרחית רגילה באזור צומת גולני; אין חריגה תפעולית.
CUST-0359,2026-05-14T01:58:00Z,רשומת מכס,בינונית,נועה ברק,L-204,רישום מנהלי שגרתי עבור נועה ברק; ללא דפוס המשך ברור.
FIN-0508,2026-05-14T02:16:00Z,התראה פיננסית,גבוהה,מפעלי עמק הירדן,L-205,דיווח רקע על פעילות יומית באזור שוק נצרת; ללא חריגה.
CAM-0533,2026-05-14T02:17:00Z,מצלמת דרך,בינונית,משרד סיוע מרחב,L-206,פעילות אזרחית רגילה באזור כביש גישה צדדי ליד בית שאן; אין חריגה תפעולית.
TEL-0279,2026-05-14T02:18:00Z,מטא-דאטה טלפוני,גבוהה,א. לוי,L-204,עומס מקומי באזור צומת גולני; אין קשר ידוע לאירוע הגבול.
PORT-0314,2026-05-14T02:21:00Z,רשומת נמל,בינונית,יחידת תיאום מכס חיפה,L-202,פעילות אזרחית רגילה באזור מתחם מחסנים קישון; אין חריגה תפעולית.
CAM-0467,2026-05-14T02:25:00Z,מצלמת דרך,בינונית,כרמל ציוד חקלאי,L-209,דיווח רקע על פעילות יומית באזור מסוף דלק צמח; ללא חריגה.
SOC-0428,2026-05-14T02:34:00Z,רשתות חברתיות,בינונית,מפעלי עמק הירדן,L-209,עומס מקומי באזור מסוף דלק צמח; אין קשר ידוע לאירוע הגבול.
SOC-0299,2026-05-14T02:46:00Z,רשתות חברתיות,גבוהה,כרמל ציוד חקלאי,L-202,בדיקת שירות שגרתית עבור כרמל ציוד חקלאי; לא נמצא מזהה משותף עם תרחישים אחרים.
PORT-0512,2026-05-14T02:51:00Z,רשומת נמל,בינונית,כרמל ציוד חקלאי,L-201,רישום מנהלי שגרתי עבור כרמל ציוד חקלאי; ללא דפוס המשך ברור.
ACOU-0408,2026-05-14T02:54:00Z,חיישן אקוסטי,גבוהה,א. לוי,L-208,בדיקת שירות שגרתית עבור א. לוי; לא נמצא מזהה משותף עם תרחישים אחרים.
TEL-0317,2026-05-14T02:59:00Z,מטא-דאטה טלפוני,נמוכה,משרד סיוע מרחב,L-209,עדכון תפעולי רגיל של משרד סיוע מרחב; המסמכים תואמים.
FIN-0285,2026-05-14T03:04:00Z,התראה פיננסית,נמוכה,אורי לוי,L-204,פעילות אזרחית רגילה באזור צומת גולני; אין חריגה תפעולית.
TEL-0436,2026-05-14T03:11:00Z,מטא-דאטה טלפוני,נמוכה,א. לוי,L-206,בדיקת שירות שגרתית עבור א. לוי; לא נמצא מזהה משותף עם תרחישים אחרים.
MOVE-0428,2026-05-14T03:12:00Z,חיישן תנועה,נמוכה,לא ידוע,L-206,רישום מנהלי שגרתי עבור לא ידוע; ללא דפוס המשך ברור.
PORT-0441,2026-05-14T03:14:00Z,רשומת נמל,בינונית,עמק שירותי קירור,L-204,בדיקת שירות שגרתית עבור עמק שירותי קירור; לא נמצא מזהה משותף עם תרחישים אחרים.
SOC-0530,2026-05-14T03:24:00Z,רשתות חברתיות,גבוהה,אורי לוי,L-201,תנועה מסחרית רגילה באזור נמל חיפה; אין קשר ידוע ל-OF-4482.
CUST-0486,2026-05-14T03:29:00Z,רשומת מכס,גבוהה,אורי לוי,L-209,רישום מנהלי שגרתי עבור אורי לוי; ללא דפוס המשך ברור.
CAM-0456,2026-05-14T03:30:00Z,מצלמת דרך,בינונית,כרמל ציוד חקלאי,L-202,רישום מנהלי שגרתי עבור כרמל ציוד חקלאי; ללא דפוס המשך ברור.
ACOU-0270,2026-05-14T03:31:00Z,חיישן אקוסטי,נמוכה,א. לוי,L-202,דיווח רקע על פעילות יומית באזור מתחם מחסנים קישון; ללא חריגה.
TEL-0499,2026-05-14T03:35:00Z,מטא-דאטה טלפוני,גבוהה,לא ידוע,L-204,תנועה מסחרית רגילה באזור צומת גולני; אין קשר ידוע ל-OF-4482.
FIN-0467,2026-05-14T03:38:00Z,התראה פיננסית,בינונית,משרד סיוע מרחב,L-206,עדכון תפעולי רגיל של משרד סיוע מרחב; המסמכים תואמים.
CAM-0476,2026-05-14T03:45:00Z,מצלמת דרך,נמוכה,יחידת תיאום מכס חיפה,L-208,רישום מנהלי שגרתי עבור יחידת תיאום מכס חיפה; ללא דפוס המשך ברור.
PORT-0515,2026-05-14T03:49:00Z,רשומת נמל,נמוכה,יחידת תיאום מכס חיפה,L-205,רישום מנהלי שגרתי עבור יחידת תיאום מכס חיפה; ללא דפוס המשך ברור.
FIN-0354,2026-05-14T03:58:00Z,התראה פיננסית,בינונית,אורי לוי,L-202,עומס מקומי באזור מתחם מחסנים קישון; אין קשר ידוע לאירוע הגבול.
ACOU-0441,2026-05-14T04:01:00Z,חיישן אקוסטי,נמוכה,גליל הובלות,L-202,עדכון תפעולי רגיל של גליל הובלות; המסמכים תואמים.
MAINT-0525,2026-05-14T04:02:00Z,יומן תחזוקה,בינונית,א. לוי,L-206,עדכון תפעולי רגיל של א. לוי; המסמכים תואמים.
MOVE-0313,2026-05-14T04:05:00Z,חיישן תנועה,בינונית,קואופרטיב דלק העמק,L-202,רישום מנהלי שגרתי עבור קואופרטיב דלק העמק; ללא דפוס המשך ברור.
FIN-0406,2026-05-14T04:07:00Z,התראה פיננסית,בינונית,נועה ברק,L-203,בדיקת שירות שגרתית עבור נועה ברק; לא נמצא מזהה משותף עם תרחישים אחרים.
CUST-0437,2026-05-14T04:10:00Z,רשומת מכס,גבוהה,גליל הובלות,L-208,פעילות אזרחית רגילה באזור משרד סיוע מרחב בחיפה; אין חריגה תפעולית.
PORT-0375,2026-05-14T04:12:00Z,רשומת נמל,גבוהה,מפעלי עמק הירדן,L-201,תנועה מסחרית רגילה באזור נמל חיפה; אין קשר ידוע ל-OF-4482.
SOC-0443,2026-05-14T04:13:00Z,רשתות חברתיות,נמוכה,כרמל ציוד חקלאי,L-201,דיווח רקע על פעילות יומית באזור נמל חיפה; ללא חריגה.
FIN-0576,2026-05-14T04:18:00Z,התראה פיננסית,גבוהה,מפעלי עמק הירדן,L-203,רישום מנהלי שגרתי עבור מפעלי עמק הירדן; ללא דפוס המשך ברור.
TEL-0536,2026-05-14T04:25:00Z,מטא-דאטה טלפוני,בינונית,צפון משלוחים,L-209,דיווח רקע על פעילות יומית באזור מסוף דלק צמח; ללא חריגה.
CUST-0538,2026-05-14T04:29:00Z,רשומת מכס,בינונית,צפון משלוחים,L-202,רישום מנהלי שגרתי עבור צפון משלוחים; ללא דפוס המשך ברור.
CUST-0416,2026-05-14T04:37:00Z,רשומת מכס,נמוכה,גליל הובלות,L-203,פעילות אזרחית רגילה באזור מעבר נהר הירדן; אין חריגה תפעולית.
PORT-0455,2026-05-14T04:44:00Z,רשומת נמל,גבוהה,משרד סיוע מרחב,L-206,בדיקת שירות שגרתית עבור משרד סיוע מרחב; לא נמצא מזהה משותף עם תרחישים אחרים.
CAM-0462,2026-05-14T04:49:00Z,מצלמת דרך,בינונית,לא ידוע,L-202,בדיקת שירות שגרתית עבור לא ידוע; לא נמצא מזהה משותף עם תרחישים אחרים.
CUST-0485,2026-05-14T04:56:00Z,רשומת מכס,בינונית,חברת אורנים,L-206,דיווח רקע על פעילות יומית באזור כביש גישה צדדי ליד בית שאן; ללא חריגה.
CAM-0311,2026-05-14T04:58:00Z,מצלמת דרך,נמוכה,משרד סיוע מרחב,L-204,עדכון תפעולי רגיל של משרד סיוע מרחב; המסמכים תואמים.
FIN-0335,2026-05-14T04:59:00Z,התראה פיננסית,גבוהה,כרמל ציוד חקלאי,L-208,עדכון תפעולי רגיל של כרמל ציוד חקלאי; המסמכים תואמים.
MOVE-0423,2026-05-14T05:01:00Z,חיישן תנועה,נמוכה,קואופרטיב דלק העמק,L-201,רישום מנהלי שגרתי עבור קואופרטיב דלק העמק; ללא דפוס המשך ברור.
MAINT-0364,2026-05-14T05:05:00Z,יומן תחזוקה,בינונית,משרד סיוע מרחב,L-206,תנועה מסחרית רגילה באזור כביש גישה צדדי ליד בית שאן; אין קשר ידוע ל-OF-4482.
MAINT-0287,2026-05-14T05:16:00Z,יומן תחזוקה,גבוהה,א. לוי,L-205,תנועה מסחרית רגילה באזור שוק נצרת; אין קשר ידוע ל-OF-4482.
CUST-0372,2026-05-14T05:20:00Z,רשומת מכס,גבוהה,משרד סיוע מרחב,L-206,בדיקת שירות שגרתית עבור משרד סיוע מרחב; לא נמצא מזהה משותף עם תרחישים אחרים.
MAINT-0380,2026-05-14T05:22:00Z,יומן תחזוקה,גבוהה,חברת אורנים,L-204,פעילות אזרחית רגילה באזור צומת גולני; אין חריגה תפעולית.
ACOU-0383,2026-05-14T05:24:00Z,חיישן אקוסטי,נמוכה,כרמל ציוד חקלאי,L-205,פעילות אזרחית רגילה באזור שוק נצרת; אין חריגה תפעולית.
MOVE-0480,2026-05-14T05:36:00Z,חיישן תנועה,נמוכה,גליל הובלות,L-204,בדיקת שירות שגרתית עבור גליל הובלות; לא נמצא מזהה משותף עם תרחישים אחרים.
TEL-0553,2026-05-14T05:48:00Z,מטא-דאטה טלפוני,בינונית,אורי לוי,L-209,רישום מנהלי שגרתי עבור אורי לוי; ללא דפוס המשך ברור.
SOC-0484,2026-05-14T05:54:00Z,רשתות חברתיות,בינונית,יחידת תיאום מכס חיפה,L-203,רישום מנהלי שגרתי עבור יחידת תיאום מכס חיפה; ללא דפוס המשך ברור.
MAINT-0442,2026-05-14T05:55:00Z,יומן תחזוקה,נמוכה,משרד סיוע מרחב,L-206,עומס מקומי באזור כביש גישה צדדי ליד בית שאן; אין קשר ידוע לאירוע הגבול.
SOC-0371,2026-05-14T05:57:00Z,רשתות חברתיות,גבוהה,מפעלי עמק הירדן,L-203,רישום מנהלי שגרתי עבור מפעלי עמק הירדן; ללא דפוס המשך ברור.
ACOU-0451,2026-05-14T05:58:00Z,חיישן אקוסטי,גבוהה,א. לוי,L-203,תנועה מסחרית רגילה באזור מעבר נהר הירדן; אין קשר ידוע ל-OF-4482.
PORT-0228,2026-05-14T06:00:00Z,רשומת נמל,גבוהה,גליל הובלות,L-201,שרשרת תמימה BN-001: מכולה BN-5000 של צינורות השקיה הגיעה לנקודת קליטה עם מסמכי משלוח תקינים; אין קשר ידוע ל-OF-4482.
FIN-0482,2026-05-14T06:09:00Z,התראה פיננסית,בינונית,כרמל ציוד חקלאי,L-204,תנועה מסחרית רגילה באזור צומת גולני; אין קשר ידוע ל-OF-4482.
PORT-0433,2026-05-14T06:09:00Z,רשומת נמל,נמוכה,עמק שירותי קירור,L-208,תנועה מסחרית רגילה באזור משרד סיוע מרחב בחיפה; אין קשר ידוע ל-OF-4482.
MOVE-0542,2026-05-14T06:12:00Z,חיישן תנועה,גבוהה,יחידת תיאום מכס חיפה,L-205,דיווח רקע על פעילות יומית באזור שוק נצרת; ללא חריגה.
MAINT-0487,2026-05-14T06:15:00Z,יומן תחזוקה,בינונית,קואופרטיב דלק העמק,L-201,בדיקת שירות שגרתית עבור קואופרטיב דלק העמק; לא נמצא מזהה משותף עם תרחישים אחרים.
PORT-0448,2026-05-14T06:15:00Z,רשומת נמל,בינונית,גליל הובלות,L-201,פעילות אזרחית רגילה באזור נמל חיפה; אין חריגה תפעולית.
SOC-0318,2026-05-14T06:28:00Z,רשתות חברתיות,בינונית,אורי לוי,L-207,רישום מנהלי שגרתי עבור אורי לוי; ללא דפוס המשך ברור.
TEL-0374,2026-05-14T06:39:00Z,מטא-דאטה טלפוני,בינונית,נועה ברק,L-202,דיווח רקע על פעילות יומית באזור מתחם מחסנים קישון; ללא חריגה.
CAM-0308,2026-05-14T06:40:00Z,מצלמת דרך,נמוכה,לא ידוע,L-206,בדיקת שירות שגרתית עבור לא ידוע; לא נמצא מזהה משותף עם תרחישים אחרים.
CUST-0216,2026-05-14T06:42:00Z,רשומת מכס,גבוהה,יחידת תיאום מכס חיפה,L-201,שרשרת תמימה BN-001: BN-5000 שוחררה לאחר בדיקת מסמכים רגילה; אין מספרי מכולה משותפים עם OF-4482.
SOC-0292,2026-05-14T06:51:00Z,רשתות חברתיות,גבוהה,מפעלי עמק הירדן,L-205,דיווח רקע על פעילות יומית באזור שוק נצרת; ללא חריגה.
CAM-0557,2026-05-14T06:53:00Z,מצלמת דרך,בינונית,אורי לוי,L-208,רישום מנהלי שגרתי עבור אורי לוי; ללא דפוס המשך ברור.
MOVE-0533,2026-05-14T07:03:00Z,חיישן תנועה,גבוהה,גליל הובלות,L-203,עדכון תפעולי רגיל של גליל הובלות; המסמכים תואמים.
CUST-0518,2026-05-14T07:04:00Z,רשומת מכס,בינונית,צפון משלוחים,L-205,עדכון תפעולי רגיל של צפון משלוחים; המסמכים תואמים.
FIN-0225,2026-05-14T07:10:00Z,התראה פיננסית,גבוהה,צפון משלוחים,L-201,שרשרת תמימה BN-001: תשלום רגיל עבור הובלת BN-5000 עם חשבונית מלאה וללא חריגה.
CAM-0447,2026-05-14T07:17:00Z,מצלמת דרך,גבוהה,חברת אורנים,L-206,תנועה מסחרית רגילה באזור כביש גישה צדדי ליד בית שאן; אין קשר ידוע ל-OF-4482.
MAINT-0318,2026-05-14T07:19:00Z,יומן תחזוקה,נמוכה,עמק שירותי קירור,L-209,פעילות אזרחית רגילה באזור מסוף דלק צמח; אין חריגה תפעולית.
ACOU-0512,2026-05-14T07:21:00Z,חיישן אקוסטי,גבוהה,לא ידוע,L-205,עדכון תפעולי רגיל של לא ידוע; המסמכים תואמים.
MAINT-0303,2026-05-14T07:22:00Z,יומן תחזוקה,נמוכה,אורי לוי,L-208,עדכון תפעולי רגיל של אורי לוי; המסמכים תואמים.
CAM-0512,2026-05-14T07:24:00Z,מצלמת דרך,גבוהה,משרד סיוע מרחב,L-203,תנועה מסחרית רגילה באזור מעבר נהר הירדן; אין קשר ידוע ל-OF-4482.
PORT-0393,2026-05-14T07:26:00Z,רשומת נמל,בינונית,אורי לוי,L-203,פעילות אזרחית רגילה באזור מעבר נהר הירדן; אין חריגה תפעולית.
FIN-0475,2026-05-14T07:31:00Z,התראה פיננסית,גבוהה,קואופרטיב דלק העמק,L-206,עומס מקומי באזור כביש גישה צדדי ליד בית שאן; אין קשר ידוע לאירוע הגבול.
MAINT-0404,2026-05-14T07:35:00Z,יומן תחזוקה,גבוהה,חברת אורנים,L-205,רישום מנהלי שגרתי עבור חברת אורנים; ללא דפוס המשך ברור.
TEL-0215,2026-05-14T07:35:00Z,מטא-דאטה טלפוני,גבוהה,גליל הובלות,L-202,שרשרת תמימה BN-001: שיחת תיאום קצרה על חלון פריקה של BN-5000; פעילות לוגיסטית רגילה.
SOC-0316,2026-05-14T07:38:00Z,רשתות חברתיות,בינונית,אורי לוי,L-205,דיווח רקע על פעילות יומית באזור שוק נצרת; ללא חריגה.
CAM-0313,2026-05-14T07:44:00Z,מצלמת דרך,גבוהה,לא ידוע,L-202,רישום מנהלי שגרתי עבור לא ידוע; ללא דפוס המשך ברור.
ACOU-0507,2026-05-14T07:52:00Z,חיישן אקוסטי,נמוכה,א. לוי,L-206,עומס מקומי באזור כביש גישה צדדי ליד בית שאן; אין קשר ידוע לאירוע הגבול.
TEL-0415,2026-05-14T07:59:00Z,מטא-דאטה טלפוני,גבוהה,לא ידוע,L-207,תנועה מסחרית רגילה באזור אזור התעשייה בית שאן; אין קשר ידוע ל-OF-4482.
PORT-0229,2026-05-14T08:07:00Z,רשומת נמל,גבוהה,כרמל ציוד חקלאי,L-201,שרשרת תמימה BN-002: מכולה AG-5001 של מסנני מים הגיעה לנקודת קליטה עם מסמכי משלוח תקינים; אין קשר ידוע ל-OF-4482.
SOC-0346,2026-05-14T08:08:00Z,רשתות חברתיות,גבוהה,חברת אורנים,L-206,בדיקת שירות שגרתית עבור חברת אורנים; לא נמצא מזהה משותף עם תרחישים אחרים.
TEL-0447,2026-05-14T08:15:00Z,מטא-דאטה טלפוני,בינונית,צפון משלוחים,L-209,רישום מנהלי שגרתי עבור צפון משלוחים; ללא דפוס המשך ברור.
MOVE-0442,2026-05-14T08:16:00Z,חיישן תנועה,בינונית,מפעלי עמק הירדן,L-206,דיווח רקע על פעילות יומית באזור כביש גישה צדדי ליד בית שאן; ללא חריגה.
MOVE-0535,2026-05-14T08:19:00Z,חיישן תנועה,נמוכה,כרמל ציוד חקלאי,L-209,רישום מנהלי שגרתי עבור כרמל ציוד חקלאי; ללא דפוס המשך ברור.
MOVE-0241,2026-05-14T08:20:00Z,חיישן תנועה,גבוהה,גליל הובלות,L-202,שרשרת תמימה BN-001: משאית מורשית יצאה עם BN-5000 לכיוון צומת גולני; תנועה מסחרית רגילה.
ACOU-0308,2026-05-14T08:24:00Z,חיישן אקוסטי,בינונית,משרד סיוע מרחב,L-207,רישום מנהלי שגרתי עבור משרד סיוע מרחב; ללא דפוס המשך ברור.
SOC-0323,2026-05-14T08:26:00Z,רשתות חברתיות,נמוכה,צפון משלוחים,L-209,עדכון תפעולי רגיל של צפון משלוחים; המסמכים תואמים.
MAINT-0341,2026-05-14T08:29:00Z,יומן תחזוקה,גבוהה,כרמל ציוד חקלאי,L-201,רישום מנהלי שגרתי עבור כרמל ציוד חקלאי; ללא דפוס המשך ברור.
MAINT-0358,2026-05-14T08:43:00Z,יומן תחזוקה,נמוכה,קואופרטיב דלק העמק,L-204,תנועה מסחרית רגילה באזור צומת גולני; אין קשר ידוע ל-OF-4482.
ACOU-0303,2026-05-14T08:45:00Z,חיישן אקוסטי,נמוכה,משרד סיוע מרחב,L-203,פעילות אזרחית רגילה באזור מעבר נהר הירדן; אין חריגה תפעולית.
PORT-0478,2026-05-14T08:48:00Z,רשומת נמל,נמוכה,קואופרטיב דלק העמק,L-209,בדיקת שירות שגרתית עבור קואופרטיב דלק העמק; לא נמצא מזהה משותף עם תרחישים אחרים.
CUST-0217,2026-05-14T08:49:00Z,רשומת מכס,גבוהה,יחידת תיאום מכס חיפה,L-201,שרשרת תמימה BN-002: AG-5001 שוחררה לאחר בדיקת מסמכים רגילה; אין מספרי מכולה משותפים עם OF-4482.
FIN-0447,2026-05-14T08:57:00Z,התראה פיננסית,נמוכה,גליל הובלות,L-208,פעילות אזרחית רגילה באזור משרד סיוע מרחב בחיפה; אין חריגה תפעולית.
CUST-0434,2026-05-14T09:03:00Z,רשומת מכס,נמוכה,קואופרטיב דלק העמק,L-206,רישום מנהלי שגרתי עבור קואופרטיב דלק העמק; ללא דפוס המשך ברור.
TEL-0474,2026-05-14T09:04:00Z,מטא-דאטה טלפוני,נמוכה,א. לוי,L-201,דיווח רקע על פעילות יומית באזור נמל חיפה; ללא חריגה.
CAM-0239,2026-05-14T09:05:00Z,מצלמת דרך,גבוהה,גליל הובלות,L-204,שרשרת תמימה BN-001: מצלמת דרך תיעדה את המשאית של BN-5000 במסלול המתוכנן; ללא חריגה.
CUST-0537,2026-05-14T09:06:00Z,רשומת מכס,גבוהה,יחידת תיאום מכס חיפה,L-209,דיווח רקע על פעילות יומית באזור מסוף דלק צמח; ללא חריגה.
CUST-0413,2026-05-14T09:09:00Z,רשומת מכס,גבוהה,נועה ברק,L-209,בדיקת שירות שגרתית עבור נועה ברק; לא נמצא מזהה משותף עם תרחישים אחרים.
FIN-0226,2026-05-14T09:17:00Z,התראה פיננסית,גבוהה,חברת אורנים,L-201,שרשרת תמימה BN-002: תשלום רגיל עבור הובלת AG-5001 עם חשבונית מלאה וללא חריגה.
MOVE-0348,2026-05-14T09:23:00Z,חיישן תנועה,בינונית,קואופרטיב דלק העמק,L-208,בדיקת שירות שגרתית עבור קואופרטיב דלק העמק; לא נמצא מזהה משותף עם תרחישים אחרים.
MOVE-0422,2026-05-14T09:28:00Z,חיישן תנועה,בינונית,כרמל ציוד חקלאי,L-208,רישום מנהלי שגרתי עבור כרמל ציוד חקלאי; ללא דפוס המשך ברור.
