event_id,timestamp_utc,source_type,source_reliability,source_reliability_label,certainty_level,entity_id,location_id,event_summary,collection_family,observation_id,mission_id,object_class,estimated_object_count,movement_status,movement_direction,geolocation_confidence,identification_confidence
REC-V2-000001,2026-09-13T19:24:42.308223Z,Local rumor,Unrated,likely,Medium,ENT-KFOR-MSU,LOC-040,דיווח ממקור גלוי מתאר פעילות של היחידה הרב-לאומית המיוחדת של KFOR in the area Local junction 20 במסגרת 'פשיטה משטרתית לילית מוגבלת'. נדרש אימות נוסף.,public_source,,,,,,,,
REC-V2-000002,2026-09-13T23:13:47.291816Z,Political blog,Unrated,confirmed,Low,ENT-KOSOVO-SPECIAL-POLICE,LOC-090,תושבים דיווחו על נוכחות יחידה מיוחדת של משטרת קוסובו במרחב Access route 70. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
REC-V2-000003,2026-09-13T11:45:53.803534Z,International news channel,Unrated,false,Low,ENT-LOCAL-JOURNALISTS,LOC-143,מספר פרסומים מצביעים על תנועה של עיתונאים מקומיים ליד Health center 123; קיימת אי-ודאות לגבי הכמות והיעד.,public_source,,,,,,,,
REC-V2-000004,2026-09-13T05:50:22.233231Z,TikTok,Unrated,likely,High,ENT-KOSOVO-GOV,LOC-087,תושבים דיווחו על נוכחות ממשלת קוסובו במרחב Access route 67. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
REC-V2-000005,2026-09-13T18:01:29.862099Z,X,Unrated,unverified,High,ENT-KOSOVO-POLICE,LOC-100,"הודעה פומבית מתייחסת למשטרת קוסובו ולשינוי היערכות in the area School 80, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000006,2026-09-12T15:47:25.926826Z,TikTok,Unrated,confirmed,Low,ENT-SERBIAN-ARMY,LOC-064,מקור גלוי טוען כי צבא סרביה קשור להתפתחות 'הודעת קוסובו על מבצע אכיפה מוגבל' in the area General checkpoint 44; הפרטים חלקיים.,public_source,,,,,,,,
REC-V2-000007,2026-09-12T21:25:17.241598Z,Facebook,Unrated,confirmed,High,ENT-KOSOVO-MOI,LOC-036,דיווח ממקור גלוי מתאר פעילות של משרד הפנים של קוסובו in the area Central square 16 במסגרת 'blockages ראשונות בצgunfireם עירוניים'. נדרש אימות נוסף.,public_source,,,,,,,,
REC-V2-000008,2026-09-12T11:35:05.836788Z,Local news,Unrated,unverified,Medium,ENT-EULEX,LOC-056,מספר פרסומים מצביעים על תנועה של EULEX ליד Small industrial area 36; קיימת אי-ודאות לגבי הכמות והיעד.,public_source,,,,,,,,
REC-V2-000009,2026-09-14T05:18:14.945768Z,International news channel,Unrated,disputed,Low,ENT-KFOR,LOC-135,תושבים דיווחו על נוכחות KFOR במרחב Small industrial area 115. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
REC-V2-000010,2026-09-13T03:22:50.061484Z,Spokesperson statement,Unrated,unverified,Low,ENT-KOSOVO-POLICE,LOC-070,"הודעה פומבית מתייחסת למשטרת קוסובו ולשינוי היערכות in the area Wooded area 50, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000011,2026-09-12T07:01:13.000418Z,Telegram,Unrated,confirmed,Low,ENT-LOCAL-RESIDENTS,LOC-045,דיווח ממקור גלוי מתאר פעילות של תושבים מקומיים in the area Nearby village 25 במסגרת 'מעצר דמות סרבית מקומית'. נדרש אימות נוסף.,public_source,,,,,,,,
REC-V2-000012,2026-09-13T01:20:36.716833Z,International news channel,Unrated,likely,High,ENT-SERBIAN-PROTESTERS,LOC-127,פרסום פומבי מצביע על נוכחות אפשרית של מפגינים סרבים מקומיים במרחב General checkpoint 107; אין אימות עצמאי להיקף הכוח.,public_source,,,,,,,,
REC-V2-000013,2026-09-12T20:29:50.920559Z,Telegram,Unrated,disputed,High,ENT-KFOR-KTRBN,LOC-079,"הודעה פומבית מתייחסת לגדוד העתודה הטקטית של KFOR ולשינוי היערכות in the area School 59, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000014,2026-09-13T17:52:02.187395Z,Facebook,Unrated,likely,High,ENT-KOSOVO-SPECIAL-POLICE,LOC-107,דיווח ממקור גלוי מתאר פעילות של יחידה מיוחדת של משטרת קוסובו in the area Health center 87 במסגרת 'פשיטה משטרתית לילית מוגבלת'. נדרש אימות נוסף.,public_source,,,,,,,,
REC-V2-000015,2026-09-13T20:17:18.842795Z,Local rumor,Unrated,likely,Medium,ENT-UNIDENTIFIED-ACTORS,LOC-136,מספר פרסומים מצביעים על תנועה של גורמים לא מזוהים ליד Small industrial area 116; קיימת אי-ודאות לגבי הכמות והיעד.,public_source,,,,,,,,
REC-V2-000016,2026-09-13T02:33:50.649485Z,Political blog,Unrated,unverified,Medium,ENT-KOSOVO-GOV,LOC-037,מספר פרסומים מצביעים על תנועה של ממשלת קוסובו ליד Nearby village 17; קיימת אי-ודאות לגבי הכמות והיעד.,public_source,,,,,,,,
REC-V2-000017,2026-09-12T22:55:21.960611Z,Political blog,Unrated,false,Low,ENT-LOCAL-JOURNALISTS,LOC-091,תושבים דיווחו על נוכחות עיתונאים מקומיים במרחב Nearby village 71. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
REC-V2-000018,2026-09-13T23:50:30.275840Z,X,Unrated,confirmed,High,ENT-LOCAL-JOURNALISTS,LOC-012,תושבים דיווחו על נוכחות עיתונאים מקומיים במרחב אזור מיוער סמוך לכפר. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
REC-V2-000019,2026-09-14T02:49:44.904153Z,Spokesperson statement,Unrated,likely,Low,ENT-AMBULANCES,LOC-142,דיווח ממקור גלוי מתאר פעילות של אמבולנסים in the area Small industrial area 122 במסגרת 'דיווחים סותרים על gunfire in the area כפרי'. נדרש אימות נוסף.,public_source,,,,,,,,
REC-V2-000020,2026-09-13T01:30:55.362474Z,International news channel,Unrated,likely,Low,ENT-EULEX,LOC-139,"הודעה פומבית מתייחסת לEULEX ולשינוי היערכות in the area Gas station 119, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000021,2026-09-13T05:23:56.738745Z,International news channel,Unrated,unverified,Low,ENT-KOSOVO-GOV,LOC-073,מספר פרסומים מצביעים על תנועה של ממשלת קוסובו ליד Health center 53; קיימת אי-ודאות לגבי הכמות והיעד.,public_source,,,,,,,,
REC-V2-000022,2026-09-13T09:19:17.935606Z,TikTok,Unrated,likely,Medium,ENT-EULEX,LOC-030,דיווח ממקור גלוי מתאר פעילות של EULEX in the area Gas station 10 במסגרת 'עימות ליד מבנה עgunfireיה'. נדרש אימות נוסף.,public_source,,,,,,,,
REC-V2-000023,2026-09-12T20:22:04.705648Z,Local rumor,Unrated,likely,Low,ENT-KOSOVO-GOV,LOC-068,"הודעה פומבית מתייחסת לממשלת קוסובו ולשינוי היערכות in the area Access route 48, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000024,2026-09-13T18:08:48.879166Z,Telegram,Unrated,confirmed,High,ENT-LOCAL-RESIDENTS,LOC-036,תושבים דיווחו על נוכחות תושבים מקומיים במרחב Central square 16. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
REC-V2-000025,2026-09-12T17:44:06.480995Z,Local rumor,Unrated,unverified,Medium,ENT-KOSOVO-GOV,LOC-101,דיווח ממקור גלוי מתאר פעילות של ממשלת קוסובו in the area General checkpoint 81 במסגרת 'הודעת קוסובו על מבצע אכיפה מוגבל'. נדרש אימות נוסף.,public_source,,,,,,,,
REC-V2-000026,2026-09-13T06:15:44.317291Z,X,Unrated,likely,Medium,ENT-EULEX,LOC-027,תושבים דיווחו על נוכחות EULEX במרחב Gas station 7. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
REC-V2-000027,2026-09-13T04:33:33.204035Z,Local rumor,Unrated,unverified,Medium,ENT-KSF,LOC-145,דיווח ממקור גלוי מתאר פעילות של KSF in the area Access route 125 במסגרת 'תגבור משטרת קוסובו סביב מתקנים'. נדרש אימות נוסף.,public_source,,,,,,,,
REC-V2-000028,2026-09-13T19:43:10.204873Z,X,Unrated,confirmed,Medium,ENT-KOSOVO-SPECIAL-POLICE,LOC-082,"הודעה פומבית מתייחסת ליחידה מיוחדת של משטרת קוסובו ולשינוי היערכות in the area Gas station 62, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000029,2026-09-12T17:38:49.771436Z,Spokesperson statement,Unrated,unverified,Low,ENT-EULEX,LOC-071,תושבים דיווחו על נוכחות EULEX במרחב Health center 51. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
REC-V2-000030,2026-09-13T03:51:14.416500Z,Political blog,Unrated,unverified,Medium,ENT-KOSOVO-SPECIAL-POLICE,LOC-040,"הודעה פומבית מתייחסת ליחידה מיוחדת של משטרת קוסובו ולשינוי היערכות in the area Local junction 20, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000031,2026-09-12T19:02:33.956002Z,Local news,Unrated,disputed,Low,ENT-EULEX,LOC-051,"הודעה פומבית מתייחסת לEULEX ולשינוי היערכות in the area Central square 31, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000032,2026-09-12T11:24:32.496269Z,TikTok,Unrated,unverified,Low,ENT-SERBIAN-PROTESTERS,LOC-056,פרסום פומבי מצביע על נוכחות אפשרית של מפגינים סרבים מקומיים במרחב Small industrial area 36; אין אימות עצמאי להיקף הכוח.,public_source,,,,,,,,
REC-V2-000033,2026-09-13T13:15:50.979911Z,X,Unrated,unverified,High,ENT-AMBULANCES,LOC-142,מספר פרסומים מצביעים על תנועה של אמבולנסים ליד Small industrial area 122; קיימת אי-ודאות לגבי הכמות והיעד.,public_source,,,,,,,,
REC-V2-000034,2026-09-13T23:22:55.130515Z,Local news,Unrated,confirmed,Low,ENT-AMBULANCES,LOC-135,מספר פרסומים מצביעים על תנועה של אמבולנסים ליד Small industrial area 115; קיימת אי-ודאות לגבי הכמות והיעד.,public_source,,,,,,,,
REC-V2-000035,2026-09-13T19:38:43.468356Z,WhatsApp group,Unrated,unverified,Medium,ENT-AMBULANCES,LOC-143,"הודעה פומבית מתייחסת לאמבולנסים ולשינוי היערכות in the area Health center 123, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000036,2026-09-12T14:09:59.572629Z,Local news,Unrated,confirmed,Low,ENT-KFOR-RCE,LOC-076,מספר פרסומים מצביעים על תנועה של KFOR פיקוד אזורי מזרח ליד School 56; קיימת אי-ודאות לגבי הכמות והיעד.,public_source,,,,,,,,
REC-V2-000037,2026-09-12T14:29:30.341058Z,International news channel,Unrated,disputed,Medium,ENT-KOSOVO-SPECIAL-POLICE,LOC-031,תושבים דיווחו על נוכחות יחידה מיוחדת של משטרת קוסובו במרחב Access route 11. חלק מהחשבונות משתמשים באותו ניסוח.,public_source,,,,,,,,
REC-V2-000038,2026-09-12T19:48:44.534552Z,TikTok,Unrated,unverified,Medium,ENT-LOCAL-JOURNALISTS,LOC-003,"הודעה פומבית מתייחסת לעיתונאים מקומיים ולשינוי היערכות in the area אזור מבנה העgunfireיה, ללא פירוט מלא.",public_source,,,,,,,,
REC-V2-000039,2026-09-14T03:04:06.983919Z,Local rumor,Unrated,likely,Medium,ENT-UNIDENTIFIED-ACTORS,LOC-029,דיווח ממקור גלוי מתאר פעילות של גורמים לא מזוהים in the area Small industrial area 9 במסגרת 'דיווחים סותרים על gunfire in the area כפרי'. נדרש אימות נוסף.,public_source,,,,,,,,
REC-V2-000040,2026-09-12T16:18:22.389492Z,Local rumor,Unrated,unverified,Medium,ENT-KFOR,LOC-042,"הודעה פומבית מתייחסת לKFOR ולשינוי היערכות in the area Central square 22, ללא פירוט מלא.",public_source,,,,,,,,
