event_id,timestamp_utc,source_type,source_reliability,source_reliability_label,certainty_level,entity_id,location_id,event_summary
REC-V2-000001,2026-09-13T19:24:42.308223Z,שמועה מקומית,לא סווגה,likely,בינונית,ENT-KFOR-MSU,LOC-040,דיווח ממקור גלוי מתאר פעילות של היחידה הרב-לאומית המיוחדת של KFOR באזור צומת מקומי 20 במסגרת 'פשיטה משטרתית לילית מוגבלת'. נדרש אימות נוסף.
REC-V2-000002,2026-09-13T23:13:47.291816Z,בלוג פוליטי,לא סווגה,confirmed,נמוכה,ENT-KOSOVO-SPECIAL-POLICE,LOC-090,תושבים דיווחו על נוכחות יחידה מיוחדת של משטרת קוסובו במרחב ציר גישה 70. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000003,2026-09-13T11:45:53.803534Z,ערוץ חדשות בינלאומי,לא סווגה,false,נמוכה,ENT-LOCAL-JOURNALISTS,LOC-143,מספר פרסומים מצביעים על תנועה של עיתונאים מקומיים ליד מרכז בריאות 123; קיימת אי-ודאות לגבי הכמות והיעד.
REC-V2-000004,2026-09-13T05:50:22.233231Z,טיקטוק,לא סווגה,likely,גבוהה,ENT-KOSOVO-GOV,LOC-087,תושבים דיווחו על נוכחות ממשלת קוסובו במרחב ציר גישה 67. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000005,2026-09-13T18:01:29.862099Z,X,לא סווגה,unverified,גבוהה,ENT-KOSOVO-POLICE,LOC-100,"הודעה פומבית מתייחסת למשטרת קוסובו ולשינוי היערכות באזור בית ספר 80, ללא פירוט מלא."
REC-V2-000006,2026-09-12T15:47:25.926826Z,טיקטוק,לא סווגה,confirmed,נמוכה,ENT-SERBIAN-ARMY,LOC-064,מקור גלוי טוען כי צבא סרביה קשור להתפתחות 'הודעת קוסובו על מבצע אכיפה מוגבל' באזור נקודת בידוק כללית 44; הפרטים חלקיים.
REC-V2-000007,2026-09-12T21:25:17.241598Z,פייסבוק,לא סווגה,confirmed,גבוהה,ENT-KOSOVO-MOI,LOC-036,דיווח ממקור גלוי מתאר פעילות של משרד הפנים של קוסובו באזור כיכר מרכזית 16 במסגרת 'חסימות ראשונות בצירים עירוניים'. נדרש אימות נוסף.
REC-V2-000008,2026-09-12T11:35:05.836788Z,חדשות מקומיות,לא סווגה,unverified,בינונית,ENT-EULEX,LOC-056,מספר פרסומים מצביעים על תנועה של EULEX ליד אזור תעשייה קטן 36; קיימת אי-ודאות לגבי הכמות והיעד.
REC-V2-000009,2026-09-14T05:18:14.945768Z,ערוץ חדשות בינלאומי,לא סווגה,disputed,נמוכה,ENT-KFOR,LOC-135,תושבים דיווחו על נוכחות KFOR במרחב אזור תעשייה קטן 115. חלק מהחשבונות משתמשים באותו ניסוח.
REC-V2-000010,2026-09-13T03:22:50.061484Z,הודעת דובר,לא סווגה,unverified,נמוכה,ENT-KOSOVO-POLICE,LOC-070,"הודעה פומבית מתייחסת למשטרת קוסובו ולשינוי היערכות באזור אזור מיוער 50, ללא פירוט מלא."
