location_id,location_name,latitude,longitude,type,notes
L-201,נמל חיפה,32.820,35.000,נמל,"נמל מסחרי מרכזי; מטפל במכולות ובדלק"
L-202,מתחם מחסנים קישון,32.790,35.040,אזור תעשייה,"מחסנים באזור המפרץ, סמוך לצירי תובלה"
L-203,מעבר נהר הירדן,32.503,35.570,מעבר גבול,"מעבר גבול מוכר; בדרך כלל תנועה נמוכה בשעות הלילה"
L-204,צומת גולני,32.782,35.409,צומת דרכים,"נקודת מעבר מרכזית בין חיפה, טבריה ועמק הירדן"
L-205,שוק נצרת,32.699,35.303,מרכז עירוני,"אזור צפוף עם תנועה אזרחית רבה"
L-206,כביש גישה צדדי ליד בית שאן,32.505,35.500,דרך צדדית,"דרך משנית ולא מוארת באזור עמק בית שאן"
L-207,אזור התעשייה בית שאן,32.500,35.500,אזור תעשייה,"סמוך לדרך הצדדית ולמעבר נהר הירדן"
L-208,משרד סיוע מרחב בחיפה,32.815,34.995,משרד,"סמוך לאזור הנמל והמכס בחיפה"
L-209,מסוף דלק צמח,32.703,35.586,מסוף דלק,"מספק דלק לתנועה חקלאית ואזרחית באזור הכנרת והעמק"

