record_id,timestamp,source_type,language,country,region,municipality,locality,place_name,location_id,location_precision,location_confidence,claimed_location,ground_truth_location,actor_mentioned,observed_actor,event_id,event_name,information_type,military_signal_type,text,relevance_label,reliability_label,claim_strength,certainty_level,is_duplicate,is_rumor,is_disinformation,is_civilian_related,is_military_related,media_claimed,media_verified,possible_misidentification,misleading_type,ground_truth_status,same_event_cluster,analyst_question
REC-025790,2026-09-12T06:19:00+02:00,הודעת דובר,אלבנית בתרגום לעברית,קוסובו,צפון קוסובו,לפוסאביץ׳,כפר 108,כיכר מרכזית 108,LOC-128,public_square,גבוהה,"לפוסאביץ׳, כיכר מרכזית 108","לפוסאביץ׳, כיכר מרכזית 108",מפגינים סרבים מקומיים,מפגינים סרבים מקומיים,EVT-002,הודעת קוסובו על מבצע אכיפה מוגבל,תצפית על תנועת כוחות,תצפית על תנועת כוחות,"דיווח על כלי טיס בלתי מזוהה מעל אזור כיכר מרכזית 108. אין אישור אם מדובר ברחפן, מסוק או רעש אזרחי.",4,propaganda/disinformation,חלשה,נמוכה,false,true,false,false,true,true,false,false,זמן שגוי,שגוי,EVT-002-CL-07,האם נדרשת הצלבה עם מקורות נוספים?
REC-014015,2026-09-12T07:52:00+02:00,הודעת דובר,סרבית בתרגום לעברית,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,צומת מקומי 83,LOC-103,junction,גבוהה,"צפון מיטרוביצה, צומת מקומי 83","צפון מיטרוביצה, צומת מקומי 83",תושבים מקומיים,,EVT-004,חסימות ראשונות בצירים עירוניים,כלכלי/חברתי,,יש דיווחים על הפסקת חשמל קצרה באזור צומת מקומי 83. לא ברור אם מדובר בתקלה רגילה.,2,unverified,חזקה,נמוכה,false,false,false,true,false,false,false,false,זמן שגוי,לא ידוע,EVT-004-CL-10,האם נדרשת הצלבה עם מקורות נוספים?
REC-072474,2026-09-12T08:34:00+02:00,X,סרבית בתרגום לעברית,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,תחנת דלק 2,LOC-022,facility,בינונית,"זבצ׳אן, תחנת דלק 2","זבצ׳אן, תחנת דלק 2",עיתונאים מקומיים,,EVT-006,KFOR מגביר סיורים בצפון,חדשות/תקשורת,,דובר רשמי מסר כי הפעילות נועדה לשמור על הסדר הציבורי ולא לפגוע באוכלוסייה אזרחית.,3,propaganda/disinformation,בינונית,נמוכה,false,false,false,false,false,false,false,false,זמן שגוי,שגוי,EVT-006-CL-11,האם הדיווח מצביע על פעילות משטרתית?
REC-091115,2026-09-12T09:42:00+02:00,טיקטוק,אלבנית בתרגום לעברית,קוסובו,צפון קוסובו,לפוסאביץ׳,לפוסאביץ׳,כיכר מרכזית 16,LOC-036,public_square,נמוכה,"לפוסאביץ׳, כיכר מרכזית 16","לפוסאביץ׳, כיכר מרכזית 16",EULEX,EULEX,EVT-003,קריאה מקומית להפגנות וחסימות,מחסום/חסימה,מחסום/חסימה,"תמונה של שיירה מוצגת ככוח סרבי, אך משתמשים אחרים טוענים שמדובר ב־KFOR או במשטרה.",3,unverified,חלשה,נמוכה,true,false,true,false,true,false,false,false,זמן שגוי,לא ידוע,EVT-003-CL-05,האם הדיווח מצביע על פעילות משטרתית?
REC-093887,2026-09-12T10:46:00+02:00,הודעת דובר,עברית,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,תחנת דלק 121,LOC-141,facility,נמוכה,"זבצ׳אן, תחנת דלק 121","זבצ׳אן, תחנת דלק 121",EULEX,EULEX,EVT-003,קריאה מקומית להפגנות וחסימות,תצפית על תנועת כוחות,תצפית על תנועת כוחות,"דיווח דרמטי טוען שכוחות גדולים חצו את הגבול הלילה. נכון לעכשיו אין לכך אימות, ומקורות אחרים מכחישים.",2,disputed,חלשה,נמוכה,false,true,true,false,true,true,false,false,זמן שגוי,שגוי,EVT-003-CL-05,האם הטענה על הסלמה מגובה במקור אמין?
REC-005027,2026-09-12T11:17:00+02:00,בלוג פוליטי,סרבית בתרגום לעברית,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,צומת מקומי 73,LOC-093,junction,בינונית,"זבצ׳אן, צומת מקומי 73","זבצ׳אן, צומת מקומי 73",KSF,KSF,EVT-003,קריאה מקומית להפגנות וחסימות,מחסום/חסימה,מחסום/חסימה,מקור מפלגתי טוען שהאירוע הוא מתקפה מתוכננת מראש. אין ראיות עצמאיות שמאשרות את הטענה.,3,unverified,חלשה,נמוכה,false,false,true,false,true,false,false,false,זמן שגוי,שגוי,EVT-003-CL-08,האם האירוע משפיע על אזרחים או על צירים?
REC-026552,2026-09-12T11:58:00+02:00,שמועה מקומית,עברית,קוסובו,צפון קוסובו,צפון מיטרוביצה,כפר 42,מרכז בריאות 42,LOC-062,facility,גבוהה,"צפון מיטרוביצה, מרכז בריאות 42","צפון מיטרוביצה, מרכז בריאות 42",KFOR,KFOR,EVT-001,מעצר דמות סרבית מקומית,תצפית על תנועת כוחות,תצפית על תנועת כוחות,דובר רשמי מסר כי הפעילות נועדה לשמור על הסדר הציבורי ולא לפגוע באוכלוסייה אזרחית. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם.,3,propaganda/disinformation,חלשה,נמוכה,false,false,false,false,true,true,false,false,זמן שגוי,שגוי,EVT-001-CL-05,האם מחאה אזרחית הופכת לעימות חמוש?
REC-012281,2026-09-12T12:02:00+02:00,טלגרם,תרגום מכונה לעברית,קוסובו,צפון קוסובו,לפוסאביץ׳,לפוסאביץ׳,תחנת דלק 47,LOC-067,facility,בינונית,"לפוסאביץ׳, תחנת דלק 47","לפוסאביץ׳, תחנת דלק 47",EULEX,,EVT-003,קריאה מקומית להפגנות וחסימות,רשתות חברתיות,,יש תור ארוך בתחנת הדלק ליד תחנת דלק 47. אנשים קונים יותר מהרגיל. מקור אחר טוען שהדיווח מוגזם או מתייחס לאירוע קודם.,0,unverified,בינונית,נמוכה,false,true,false,true,false,false,false,false,זמן שגוי,שגוי,EVT-003-CL-10,האם נדרשת הצלבה עם מקורות נוספים?
REC-087598,2026-09-12T12:15:00+02:00,ערוץ חדשות בינלאומי,אלבנית בתרגום לעברית,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,תחנת דלק 63,LOC-083,facility,בינונית,"זובין פוטוק, תחנת דלק 63","זובין פוטוק, תחנת דלק 63",משטרת קוסובו,משטרת קוסובו,EVT-003,קריאה מקומית להפגנות וחסימות,מחסום/חסימה,מחסום/חסימה,"תמונה של שיירה מוצגת ככוח סרבי, אך משתמשים אחרים טוענים שמדובר ב־KFOR או במשטרה.",4,unverified,חזקה,נמוכה,false,true,true,false,true,true,false,false,זמן שגוי,נכון חלקית,EVT-003-CL-07,האם מחאה אזרחית הופכת לעימות חמוש?
REC-076848,2026-09-12T12:20:00+02:00,בלוג פוליטי,עברית,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,ציר גישה 34,LOC-054,road_segment,נמוכה,"צפון מיטרוביצה, ציר גישה 34","צפון מיטרוביצה, ציר גישה 34",תושבים מקומיים,,EVT-004,חסימות ראשונות בצירים עירוניים,רשתות חברתיות,,"שמעתי רעש חזק לפני כמה דקות באזור ציר גישה 34. אולי זה לא קשור, אבל כולם מדברים על זה. אין תיעוד חזותי שמאפשר לאמת את הפרטים.",2,false,חלשה,נמוכה,false,true,false,true,false,false,false,false,זמן שגוי,לא ידוע,EVT-004-CL-11,האם יש שינוי בנוכחות KFOR?
REC-033900,2026-09-12T12:38:00+02:00,X,תרגום מכונה לעברית,קוסובו,צפון קוסובו,לפוסאביץ׳,כפר 126,צומת מקומי 126,LOC-146,junction,בינונית,"לפוסאביץ׳, צומת מקומי 126","לפוסאביץ׳, צומת מקומי 126",EULEX,EULEX,EVT-003,קריאה מקומית להפגנות וחסימות,כוננות בצד הסרבי,כוננות בצד הסרבי,"פוסט ויראלי מייחס ירי לEULEX, אך סרטונים אחרים מאותו אזור מצביעים על רעש אזרחי בלבד.",2,disputed,חלשה,נמוכה,false,true,true,false,true,false,false,false,זמן שגוי,נכון,EVT-003-CL-08,האם יש ניסיון להטעות לגבי מיקום או זהות הכוח?
REC-009448,2026-09-12T14:01:00+02:00,שמועה מקומית,אנגלית בתרגום לעברית,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,אזור גשר איבר,LOC-001,neighborhood,בינונית,"צפון מיטרוביצה, אזור גשר איבר","צפון מיטרוביצה, אזור גשר איבר",KFOR,KFOR,EVT-004,חסימות ראשונות בצירים עירוניים,תצפית על תנועת כוחות,תצפית על תנועת כוחות,תושבים מתלוננים שהמצב הביטחוני פוגע בשגרה יותר מהאירוע עצמו. הדיווח מופיע בכמה חשבונות עם ניסוח כמעט זהה.,2,false,בינונית,נמוכה,false,false,false,true,true,true,false,false,זמן שגוי,לא ידוע,EVT-004-CL-04,האם יש ניסיון להטעות לגבי מיקום או זהות הכוח?
REC-073418,2026-09-12T14:24:00+02:00,קבוצת וואטסאפ,אנגלית בתרגום לעברית,קוסובו,צפון קוסובו,זבצ׳אן,זבצ׳אן,מרכז בריאות 53,LOC-073,facility,גבוהה,"זבצ׳אן, מרכז בריאות 53","זבצ׳אן, מרכז בריאות 53",קבוצה חמושה מקומית,קבוצה חמושה מקומית,EVT-002,הודעת קוסובו על מבצע אכיפה מוגבל,דיווח פיצוץ,דיווח פיצוץ,דיווח תקשורתי טוען כי KFOR הגביר את הנוכחות כדי למנוע חיכוך ישיר.,4,unverified,חלשה,נמוכה,false,false,false,false,true,true,false,false,זמן שגוי,נכון חלקית,EVT-002-CL-12,האם האירוע משפיע על אזרחים או על צירים?
REC-072035,2026-09-12T15:12:00+02:00,טיקטוק,אנגלית בתרגום לעברית,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,כפר סמוך 4,LOC-024,village,גבוהה,"זובין פוטוק, כפר סמוך 4","זובין פוטוק, כפר סמוך 4",עיתונאים מקומיים,עיתונאים מקומיים,EVT-003,קריאה מקומית להפגנות וחסימות,נוכחות KFOR,נוכחות KFOR,"דיווח דרמטי טוען שכוחות גדולים חצו את הגבול הלילה. נכון לעכשיו אין לכך אימות, ומקורות אחרים מכחישים.",4,disputed,בינונית,נמוכה,false,true,true,false,true,false,false,false,זמן שגוי,נכון,EVT-003-CL-12,האם מדובר באירוע אמיתי או רעש?
REC-092517,2026-09-12T15:51:00+02:00,פייסבוק,עברית,קוסובו,צפון קוסובו,צפון מיטרוביצה,צפון מיטרוביצה,ציר גישה 106,LOC-126,road_segment,בינונית,"צפון מיטרוביצה, ציר גישה 106","צפון מיטרוביצה, ציר גישה 106",KFOR,KFOR,EVT-005,תגבור משטרת קוסובו סביב מתקנים,דיווח פיצוץ,דיווח פיצוץ,מישהו יודע אם בטוח לעבור דרך ציר גישה 106? שמעתי שיש שם מחסום חדש.,3,false,בינונית,נמוכה,false,true,false,true,true,false,false,false,זמן שגוי,שגוי,EVT-005-CL-04,האם יש שינוי בנוכחות KFOR?
REC-046005,2026-09-12T16:32:00+02:00,טיקטוק,אלבנית בתרגום לעברית,קוסובו,צפון קוסובו,זבצ׳אן,כפר 114,צומת מקומי 114,LOC-134,junction,גבוהה,"זבצ׳אן, צומת מקומי 114","זבצ׳אן, צומת מקומי 114",גורמים לא מזוהים,גורמים לא מזוהים,EVT-003,קריאה מקומית להפגנות וחסימות,פינוי/חילוץ,פינוי/חילוץ,"תמונה של שיירה מוצגת ככוח סרבי, אך משתמשים אחרים טוענים שמדובר ב־KFOR או במשטרה.",1,false,חלשה,נמוכה,false,true,true,false,true,false,false,false,זמן שגוי,שגוי,EVT-003-CL-07,האם נדרשת הצלבה עם מקורות נוספים?
REC-089661,2026-09-12T16:40:00+02:00,בלוג פוליטי,אנגלית בתרגום לעברית,קוסובו,צפון קוסובו,זובין פוטוק,זובין פוטוק,בית ספר 32,LOC-052,facility,נמוכה,"זובין פוטוק, בית ספר 32","זובין פוטוק, בית ספר 32",עיתונאים מקומיים,עיתונאים מקומיים,EVT-003,קריאה מקומית להפגנות וחסימות,דיווח פיצוץ,דיווח פיצוץ,"תמונה של שיירה מוצגת ככוח סרבי, אך משתמשים אחרים טוענים שמדובר ב־KFOR או במשטרה.",2,unverified,חלשה,נמוכה,false,true,true,false,true,false,false,false,זמן שגוי,לא ידוע,EVT-003-CL-04,האם האירוע משפיע על אזרחים או על צירים?
